Title,Url,Code Link,Confidence,Year
Depth-Guided Bundle Sampling for Efficient Generalizable Neural Radiance Field Reconstruction,https://arxiv.org/abs/2505.19793v1,https://github.com/klmav-cuc/gdb-nerf,medium,2505
"EvEnhancer: Empowering Effectiveness, Efficiency and Generalizability for Continuous Space-Time Video Super-Resolution with Events",https://arxiv.org/abs/2505.04657v1,https://github.com/w-shuoyan/evenhancer,medium,2505
MeshGen: Generating PBR Textured Mesh with Render-Enhanced Auto-Encoder and Generative Data Augmentation,https://arxiv.org/abs/2505.04656v1,https://github.com/heheyas/meshgen,high,2505
Bounding Box-Guided Diffusion for Synthesizing Industrial Images and Segmentation Map,https://arxiv.org/abs/2505.03623v2,https://github.com/covisionlab/diffusion_labeling,high,2505
Advancing Generalizable Tumor Segmentation with Anomaly-Aware Open-Vocabulary Attention Maps and Frozen Foundation Diffusion Models,https://arxiv.org/abs/2505.02753v1,https://github.com/yankai96/diffugts,high,2505
FreePCA: Integrating Consistency Information across Long-short Frames in Training-free Long Video Generation via Principal Component Analysis,https://arxiv.org/abs/2505.01172v1,https://github.com/josephtitan/freepca,high,2505
Meta-Learning Hyperparameters for Parameter Efficient Fine-Tuning,https://arxiv.org/abs/2603.01759v1,https://github.com/doem97/metalora,medium,2603
Optimizing Multimodal LLMs for Egocentric Video Understanding: A Solution for the HD-EPIC VQA Challenge,https://arxiv.org/abs/2601.10228v1,https://github.com/youngseng/egocentric-co-pilot,medium,2601
NN-Former: Rethinking Graph Structure in Neural Architecture Representation,https://arxiv.org/abs/2507.00880v1,https://github.com/xuruihan/nnformer,medium,2507
Instant Particle Size Distribution Measurement Using CNNs Trained on Synthetic Data,https://arxiv.org/abs/2507.00822v1,https://github.com/yasserelj/synthetic-granular-gen,medium,2507
DIVE: Deep-search Iterative Video Exploration A Technical Report for the CVRR Challenge at CVPR 2025,https://arxiv.org/abs/2506.21891v1,https://github.com/panasonicconnect/dive,medium,2506
Improving Personalized Search with Regularized Low-Rank Parameter Updates,https://arxiv.org/abs/2506.10182v1,https://github.com/adobe-research/polar-vl,medium,2506
Hearing Hands: Generating Sounds from Physical Interactions in 3D Scenes,https://arxiv.org/abs/2506.09989v1,https://github.com/dou-yiming/hearing_hands,medium,2506
UniPre3D: Unified Pre-training of 3D Point Cloud Models with Cross-Modal Gaussian Splatting,https://arxiv.org/abs/2506.09952v1,https://github.com/wangzy22/unipre3d,medium,2506
Unleashing the Potential of Consistency Learning for Detecting and Grounding Multi-Modal Media Manipulation,https://arxiv.org/abs/2506.05890v1,https://github.com/liyih/cscl,medium,2506
